date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:46:41	18150/18150	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-46e6%22	https://rstheme.com/products/html/braintech/assets/images/project/style3/5.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/project/style3/5.jpg	(from https://rstheme.com/products/html/braintech/case-studies-style4.html)
02:46:41	20166/20166	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-4ec6%22	https://rstheme.com/products/html/braintech/assets/images/project/style3/6.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/project/style3/6.jpg	(from https://rstheme.com/products/html/braintech/case-studies-style4.html)
02:46:42	22336/22336	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-5740%22	https://rstheme.com/products/html/braintech/assets/images/shop/1.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/1.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:42	25401/25401	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-6339%22	https://rstheme.com/products/html/braintech/assets/images/shop/2.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/2.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:43	11427/11427	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-2ca3%22	https://rstheme.com/products/html/braintech/assets/images/shop/3.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/3.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:43	11176/11176	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-2ba8%22	https://rstheme.com/products/html/braintech/assets/images/shop/4.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/4.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:43	11383/11383	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-2c77%22	https://rstheme.com/products/html/braintech/assets/images/shop/5.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/5.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:44	25080/25080	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-61f8%22	https://rstheme.com/products/html/braintech/assets/images/shop/6.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/6.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:44	21715/21715	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-54d3%22	https://rstheme.com/products/html/braintech/assets/images/shop/7.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/7.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:45	20376/20376	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-4f98%22	https://rstheme.com/products/html/braintech/assets/images/shop/8.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/8.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:45	27653/27653	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-6c05%22	https://rstheme.com/products/html/braintech/assets/images/shop/9.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shop/9.jpg	(from https://rstheme.com/products/html/braintech/shop.html)
02:46:45	2104/2104	---M--	200	added ('OK')	image/png	etag:%22613f365c-838%22	https://rstheme.com/products/html/braintech/assets/images/paypal.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/paypal.png	(from https://rstheme.com/products/html/braintech/checkout.html)
